ISSN,类别,总引用频次,影响因子,分区,issn,英文全名,中文全名(机器翻译),年文章量,投稿难易度,初审周期,主页,校验,,,,
1553-3077,计算机科学，软件工程,354,0.927,4,1553-3077,ACM TRANSACTIONS ON STORAGE,ACM存储事务,40,容易,>12周，或约稿,https://tos.acm.org/,相同,,,,
1473-8716,计算机科学，软件工程,542,0.923,4,1473-8716,INFORMATION VISUALIZATION,信息可视化,22,容易,>12周，或约稿,https://journals.sagepub.com/home/ivi,相同,,,,
1383-7621,计算机科学，软件工程,840,0.913,4,1383-7621,journal of systems architecture,系统体系结构杂志,92,命中率约25%,平均6月,https://www.journals.elsevier.com/journal-of-systems-architecture/,相同,,,,
2095-9184,计算机科学，软件工程,237,0.91,4,2095-9184,Frontiers of Information Technology & Electronic Engineering,信息技术与电子工程前沿,324,容易,"较快,2-4周",https://www.springer.com/computer/journal/11714,相同,,,,
1943-068X,计算机科学，软件工程,401,0.897,4,1943-068X,IEEE Transactions on Computational Intelligence and AI in Games,计算智能与人工智能在游戏中的应用,34,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=a03f12158&q=w,相同,,,,
1000-9000,计算机科学，软件工程,926,0.878,4,1000-9000,journal of computer science and technology,计算机科学与技术杂志,101,容易,"偏慢,4-8周",https://www.springer.com/computer/journal/11390,相同,,,,
1471-0684,计算机科学，软件工程,403,0.875,4,1471-0684,theory and practice of logic programming,逻辑程序设计理论与实践,123,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=2a426762&q=w,相同,,,,
1084-4309,计算机科学，软件工程,621,0.87,4,1084-4309,acm transactions on design automation of electronic systems,电子系统设计自动化学报,68,容易,"较慢,6-12周",https://todaes.acm.org/,相同,,,,
0934-5043,计算机科学，软件工程,384,0.845,4,0934-5043,formal aspects of computing,计算的形式方面,43,容易,>12周，或约稿,https://link.springer.com/journal/165,相同,,,,
0010-4620,计算机科学，软件工程,3378,0.792,4,0010-4620,computer journal,计算机期刊,130,命中率约20%,平均3月,https://academic.oup.com/comjnl,相同,,,,
1548-3924,计算机科学，软件工程,184,0.781,4,1548-3924,INTERNATIONAL JOURNAL OF DATA WAREHOUSING AND MINING,国际数据仓储与挖掘杂志,16,容易,>12周，或约稿,https://www.igi-global.com/journal/international-journal-data-warehousing-mining/1085,相同,,,,
0164-0925,计算机科学，软件工程,1080,0.759,4,0164-0925,acm transactions on programming languages and systems,ACM编程语言与系统汇刊,18,容易,>12周，或约稿,https://toplas.acm.org/,相同,,,,
0167-6423,计算机科学，软件工程,1330,0.74,4,0167-6423,science of computer programming,计算机程序设计科学,77,容易,"较慢,6-12周",https://www.journals.elsevier.com/science-of-computer-programming/,相同,,,,
0169-2968,计算机科学，软件工程,1570,0.725,4,0169-2968,fundamenta informaticae,信息基础,314,容易,"较快,2-4周",https://fi.mimuw.edu.pl/index.php/FI,相同,,,,
0956-7968,计算机科学，软件工程,376,0.703,4,0956-7968,journal of functional programming,功能规划杂志,25,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=2df06866&q=w,相同,,,,
1546-4261,计算机科学，软件工程,424,0.697,4,1546-4261,computer animation and virtual worlds,计算机动画和虚拟世界,57,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/1546427x,相同,,,,
0178-4617,计算机科学，软件工程,1940,0.667,4,0178-4617,algorithmica,算法算法,314,容易,"较快,2-4周",http://algorithmica.co.in/,相同,,,,
1820-0214,计算机科学，软件工程,359,0.613,4,1820-0214,COMPUTER SCIENCE AND INFORMATION SYSTEMS,计算机科学与信息系统,51,容易,"较慢,6-12周",http://www.comsis.org/,相同,,,,
1462-7264,计算机科学，软件工程,362,0.569,4,1462-7264,discrete mathematics and theoretical computer science,离散数学与理论计算机科学,100,容易,"偏慢,4-8周",http://www.emis.de/journals/DMTCS/,相同,,,,
0219-6913,计算机科学，软件工程,368,0.54,4,0219-6913,international journal of wavelets multiresolution and information processing,国际小波多分辨与信息处理杂志,134,容易,"偏慢,4-8周",https://www.worldscientific.com/worldscinet/ijwmip,相同,,,,
0929-5585,计算机科学，软件工程,138,0.516,4,0929-5585,design automation for embedded systems,嵌入式系统设计自动化,14,容易,>12周，或约稿,https://link.springer.com/journal/10617,相同,,,,
1745-1361,计算机科学，软件工程,1583,0.5,4,1745-1361,ieice transactions on information and systems,信息与系统交易,392,容易,"较快,2-4周",https://www.jstage.jst.go.jp/browse/transinf,相同,,,,
1054-7460,计算机科学，软件工程,1590,0.426,4,1054-7460,presence-teleoperators and virtual environments,现场远程操作员和虚拟环境,13,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/pres,相同,,,,
1545-7362,计算机科学，软件工程,101,0.405,4,1545-7362,International Journal of Web Services Research,国际网络服务研究杂志,22,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=ab8a7497&q=w,相同,,,,
0218-1940,计算机科学，软件工程,360,0.397,4,0218-1940,international journal of software engineering and knowledge engineering,国际软件工程与知识工程杂志,132,容易,"偏慢,4-8周",https://www.worldscientific.com/worldscinet/ijseke,相同,,,,
1389-6911,计算机科学，软件工程,45,0.313,4,1389-6911,icga journal,ICGA期刊,28,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=64fd2791&q=w,相同,,,,
1540-9589,计算机科学，软件工程,95,0.311,4,1540-9589,JOURNAL OF WEB ENGINEERING,网络工程杂志,29,容易,>12周，或约稿,http://www.rintonpress.com/journals/jwe/,相同,,,,
0361-7688,计算机科学，软件工程,135,0.267,4,0361-7688,programming and computer software,程序设计与计算机软件,42,容易,>12周，或约稿,https://www.springer.com/computer/journal/11086,相同,,,,
1063-8016,计算机科学，软件工程,169,0.231,4,1063-8016,journal of database management,数据库管理杂志,16,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=6b4d3668&q=w,相同,,,,
1089-778X,计算机科学，理论和方法,10682,8.124,1,1089-778X,ieee transactions on evolutionary computation,进化计算汇刊,61,较难,"较慢,6-12周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=4235,相同,,,,
2162-237X,计算机科学，理论和方法,19867,7.982,1,2162-237X,IEEE Transactions on Neural Networks and Learning Systems,IEEE神经网络与学习系统汇刊,499,较难,"较快,2-4周",http://www.medsci.cn/sci/url.do?id=dec412160&q=w,相同,,,,
1566-2535,计算机科学，理论和方法,3303,6.639,1,1566-2535,Information Fusion,信息融合,78,较难,"较慢,6-12周",https://www.journals.elsevier.com/information-fusion/,相同,,,,
1556-6013,计算机科学，理论和方法,7294,5.824,1,1556-6013,IEEE Transactions on Information Forensics and Security,IEEE信息取证与安全事务,428,较难,"较快,2-4周",https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=10206,相同,,,,
0360-0300,计算机科学，理论和方法,6593,5.55,2,0360-0300,acm computing surveys,ACM计算调查,93,较难,"较慢,6-12周",https://csur.acm.org/,相同,,,,
0167-739X,计算机科学，理论和方法,6410,4.639,2,0167-739X,FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF GRID COMPUTING AND ESCIENCE,未来一代计算机系统——国际网格计算与安全杂志,314,较易,"较快,2-4周",https://www.journals.elsevier.com/future-generation-computer-systems/,相同,,,,
1045-9219,计算机科学，理论和方法,8848,3.971,2,1045-9219,ieee transactions on parallel and distributed systems,并行和分布式系统的IEEE事务,506,命中率约25%,平均12月,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=71,相同,,,,
2210-6502,计算机科学，理论和方法,1517,3.818,2,2210-6502,Swarm and Evolutionary Computation,群体与进化计算,59,,"较慢,6-12周",https://www.journals.elsevier.com/swarm-and-evolutionary-computation/,相同,,,,
0737-0024,计算机科学，理论和方法,1278,3.379,2,0737-0024,human-computer interaction,人机交互,17,较难,>12周，或约稿,https://www.tandfonline.com/toc/hhci20/current,相同,,,,
1387-3326,计算机科学，理论和方法,1470,3.232,2,1387-3326,information systems frontiers,信息系统前沿,92,一般,"较慢,6-12周",https://www.springer.com/business+&+management/business+information+systems/journal/10796,相同,,,,
1063-6692,计算机科学，理论和方法,7390,3.11,2,1063-6692,ieee-acm transactions on networking,IEEE ACM网络事务,1137,较难,"超快,1-2周",http://www.medsci.cn/sci/url.do?id=da482812&q=w,相同,,,,
0001-0782,计算机科学，理论和方法,17147,3.063,2,0001-0782,communications of the acm,ACM的通信,307,较难,"较快,2-4周",https://cacm.acm.org/,相同,,,,
1615-3375,计算机科学，理论和方法,1402,3.056,2,1615-3375,foundations of computational mathematics,计算数学基础,84,较难,"较慢,6-12周",https://link.springer.com/journal/10208,相同,,,,
0308-1079,计算机科学，理论和方法,1521,2.931,2,0308-1079,international journal of general systems,国际通用系统杂志,78,命中率约50%,平均6月,http://www.medsci.cn/sci/url.do?id=e7c01877&q=w,相同,,,,
1570-7873,计算机科学，理论和方法,687,2.8,2,1570-7873,Journal of Grid Computing,网格计算杂志,30,较易,>12周，或约稿,https://www.springer.com/computer/communication+networks/journal/10723,相同,,,,
0165-0114,计算机科学，理论和方法,15853,2.675,2,0165-0114,fuzzy sets and systems,模糊集与系统,378,较易,"较快,2-4周",https://www.elsevier.com/journals/fuzzy-sets-and-systems/0165-0114,相同,,,,
0169-2607,计算机科学，理论和方法,5915,2.674,2,0169-2607,computer methods and programs in biomedicine,生物医学中的计算机方法和程序,638,命中率约37.5%,平均4.6月,https://www.journals.elsevier.com/computer-methods-and-programs-in-biomedicine/,相同,,,,
1063-6560,计算机科学，理论和方法,2629,2.388,2,1063-6560,EVOLUTIONARY COMPUTATION,进化计算,23,较易,>12周，或约稿,https://www.mitpressjournals.org/loi/evco,相同,,,,
0164-1212,计算机科学，理论和方法,4992,2.278,3,0164-1212,journal of systems and software,系统与软件杂志,219,命中率约50%,平均3月,https://www.elsevier.com/journals/journal-of-systems-and-software/0164-1212,相同,,,,
1758-0366,计算机科学，理论和方法,590,2.266,3,1758-0366,International Journal of Bio-Inspired Computation,国际生物启发计算杂志,49,较易,>12周，或约稿,https://www.inderscience.com/jhome.php?jcode=ijbic,相同,,,,
1570-0844,计算机科学，理论和方法,522,2.224,3,1570-0844,Semantic Web,语义网,55,较易,"较慢,6-12周",https://www.w3.org/standards/semanticweb/,相同,,,,
0020-7721,计算机科学，理论和方法,4591,2.185,3,0020-7721,international journal of systems science,国际系统科学杂志,874,命中率约50%,平均6月,https://www.tandfonline.com/toc/tsys20/current,相同,,,,
0262-8856,计算机科学，理论和方法,5280,2.159,3,0262-8856,image and vision computing,图像与视觉计算,337,命中率约20%,平均6月,https://www.journals.elsevier.com/image-and-vision-computing/,相同,,,,
0923-6082,计算机科学，理论和方法,659,2.088,3,0923-6082,multidimensional systems and signal processing,多维系统与信号处理,156,容易,"一般,3-8周",https://www.editorialmanager.com/mult/default.aspx,相同,,,,
1551-6857,计算机科学，理论和方法,781,2.019,3,1551-6857,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,多媒体计算通信与应用交流,62,较易,"较慢,6-12周",https://tomm.acm.org/,相同,,,,
1094-3420,计算机科学，理论和方法,829,2.015,3,1094-3420,international journal of high performance computing applications,国际高性能计算应用杂志,41,较易,>12周，或约稿,https://journals.sagepub.com/home/hpc,相同,,,,
1942-4787,计算机科学，理论和方法,547,1.939,3,1942-4787,WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY,威利跨学科回顾-数据挖掘和知识发现,24,较易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=515b12120&q=w,相同,,,,
1877-7503,计算机科学，理论和方法,1136,1.925,3,1877-7503,JOURNAL OF COMPUTATIONAL SCIENCE,计算科学杂志,141,,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computational-science/,相同,,,,
1070-986X,计算机科学，理论和方法,844,1.898,3,1070-986X,ieee multimedia,ieee多媒体杂志,46,较易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=93,相同,,,,
0960-3174,计算机科学，理论和方法,3607,1.851,3,0960-3174,statistics and computing,统计与计算,204,容易,"一般,3-6周",https://www.springer.com/statistics/journal/11222,相同,,,,
0743-7315,计算机科学，理论和方法,2729,1.815,3,0743-7315,journal of parallel and distributed computing,并行与分布式计算杂志,171,容易,平均3月,https://www.journals.elsevier.com/journal-of-parallel-and-distributed-computing/,相同,,,,
0166-5316,计算机科学，理论和方法,1418,1.786,3,0166-5316,performance evaluation,绩效评价,53,较易,"较慢,6-12周",https://www.journals.elsevier.com/performance-evaluation/,相同,,,,
0734-2071,计算机科学，理论和方法,1172,1.76,3,0734-2071,acm transactions on computer systems,计算机系统的ACM事务,13,较易,>12周，或约稿,https://tocs.acm.org/,相同,,,,
0004-5411,计算机科学，理论和方法,6167,1.744,3,0004-5411,journal of the acm,ACM杂志,40,较易,>12周，或约稿,https://jacm.acm.org/,相同,,,,
0942-4962,计算机科学，理论和方法,726,1.703,3,0942-4962,multimedia systems,多媒体系统,58,较易,"较慢,6-12周",https://www.springer.com/computer/security+and+cryptology/journal/530,相同,,,,
1615-5262,计算机科学，理论和方法,526,1.658,3,1615-5262,INTERNATIONAL JOURNAL OF INFORMATION SECURITY,国际信息安全杂志,37,命中率约75%,平均1月,https://www.springer.com/computer/security+and+cryptology/journal/10207,相同,,,,
0010-485X,计算机科学，理论和方法,1877,1.654,3,0010-485X,computing,计算,64,较易,"较慢,6-12周",https://www.springer.com/computer/journal/607,相同,,,,
1386-7857,计算机科学，理论和方法,1163,1.601,3,1386-7857,cluster computing-the journal of networks software tools and applications,集群计算网络软件工具和应用杂志,286,容易,"一般,3-6周",https://www.springer.com/computer/communication+networks/journal/10586,相同,,,,
1533-7146,计算机科学，理论和方法,1476,1.601,3,1533-7146,QUANTUM INFORMATION & COMPUTATION,量子信息与计算,86,较易,"较慢,6-12周",https://dblp.uni-trier.de/db/journals/qic/index.html,相同,,,,
0922-6443,计算机科学，理论和方法,697,1.595,3,0922-6443,real-time systems,实时系统,28,命中率约5%,平均6月,https://www.real-time-systems.com/,相同,,,,
1380-7501,计算机科学，理论和方法,4753,1.541,3,1380-7501,multimedia tools and applications,多媒体工具和应用,2393,命中率约50%,平均6月,https://www.springer.com/computer/information+systems+and+applications/journal/11042,相同,,,,
0920-8542,计算机科学，理论和方法,2421,1.532,3,0920-8542,journal of supercomputing,超级计算杂志,505,容易,"很快,2-3周",https://www.springer.com/computer/swe/journal/11227,相同,,,,
0022-0000,计算机科学，理论和方法,3760,1.497,3,0022-0000,journal of computer and system sciences,计算机与系统科学杂志,111,容易,"偏慢,4-8周",https://www.journals.elsevier.com/journal-of-computer-and-system-sciences/,相同,,,,
2167-6461,计算机科学，理论和方法,294,1.489,3,2167-6461,Big Data,大数据,31,命中率约50%,平均2月,https://www.ibm.com/analytics/hadoop/big-data-analytics,相同,,,,
1389-2576,计算机科学，理论和方法,307,1.455,3,1389-2576,GENETIC PROGRAMMING AND EVOLVABLE MACHINES,遗传规划与进化机器,29,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/10710,相同,,,,
0266-4720,计算机科学，理论和方法,568,1.43,3,0266-4720,expert systems,专家系统,52,容易,"较慢,6-12周",https://onlinelibrary.wiley.com/journal/14680394,相同,,,,
1556-4665,计算机科学，理论和方法,420,1.216,3,1556-4665,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,关于自主和自适应系统的ACM事务,22,容易,>12周，或约稿,https://taas.acm.org/,相同,,,,
1936-2447,计算机科学，理论和方法,160,1.213,3,1936-2447,CRYPTOGRAPHY AND COMMUNICATIONS-DISCRETE-STRUCTURES BOOLEAN FUNCTIONS AND SEQUENCES,密码学和通信离散结构布尔函数和序列,94,容易,"较慢,6-12周",https://www.springer.com/computer/security+and+cryptology/journal/12095,相同,,,,
1544-3566,计算机科学，理论和方法,534,1.131,3,1544-3566,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,ACM体系结构和代码优化事务,55,容易,"较慢,6-12周",https://dl.acm.org/citation.cfm?id=J924,相同,,,,
1381-1231,计算机科学，理论和方法,1122,1.129,4,1381-1231,journal of heuristics,启发学杂志,20,容易,>12周，或约稿,https://link.springer.com/journal/10732,相同,,,,
1532-0626,计算机科学，理论和方法,2157,1.114,4,1532-0626,concurrency and computation-practice & experience,并发与计算实践与经验,399,容易,"较快,2-4周",https://onlinelibrary.wiley.com/journal/15320634,相同,,,,
0925-1022,计算机科学，理论和方法,1615,1.114,4,0925-1022,designs codes and cryptography,设计代码和密码学,290,容易,"一般,3-6周",https://www.springer.com/computer/security+and+cryptology/journal/10623,相同,,,,
2095-2228,计算机科学，理论和方法,456,1.105,4,2095-2228,FRONTIERS OF COMPUTER SCIENCE,计算机科学前沿,81,容易,"较慢,6-12周",https://www.springer.com/computer/journal/11704,相同,,,,
0960-1295,计算机科学，理论和方法,588,1.094,4,0960-1295,mathematical structures in computer science,计算机科学中的数学结构,70,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=87644840&q=w,相同,,,,
0890-5401,计算机科学，理论和方法,2119,1.077,4,0890-5401,information and computation,信息与计算,240,容易,"一般,3-6周",http://iandc.csail.mit.edu/,相同,,,,
0948-695X,计算机科学，理论和方法,1079,1.066,4,0948-695X,journal of universal computer science,通用计算机科学杂志,50,容易,"较慢,6-12周",http://www.jucs.org/jucs_info/aims,相同,,,,
0933-2790,计算机科学，理论和方法,1081,1.056,4,0933-2790,journal of cryptology,密码学杂志,91,容易,"较慢,6-12周",https://link.springer.com/journal/145,相同,,,,
0141-9331,计算机科学，理论和方法,825,1.049,4,0141-9331,microprocessors and microsystems,微处理器和微系统,328,容易,"较快,2-4周",https://www.journals.elsevier.com/microprocessors-and-microsystems/,相同,,,,
1548-7199,计算机科学，理论和方法,224,1.022,4,1548-7199,INTERNATIONAL JOURNAL OF UNCONVENTIONAL COMPUTING,国际非常规计算杂志,19,容易,>12周，或约稿,https://www.oldcitypublishing.com/journals/,相同,,,,
0018-8646,计算机科学，理论和方法,3100,0.962,4,0018-8646,ibm journal of research and development,IBM研究与开发杂志,53,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=95bb2786&q=w,相同,,,,
0167-8191,计算机科学，理论和方法,1607,0.938,4,0167-8191,parallel computing,并行计算,53,容易,"较慢,6-12周",https://www.journals.elsevier.com/parallel-computing/,相同,,,,
0954-0091,计算机科学，理论和方法,326,0.933,4,0954-0091,connection science,连接科学,35,容易,>12周，或约稿,https://www.tandfonline.com/loi/ccos20,相同,,,,
0926-8782,计算机科学，理论和方法,320,0.925,4,0926-8782,distributed and parallel databases,分布式和并行数据库,16,容易,>12周，或约稿,https://link.springer.com/journal/10619,相同,,,,
0097-5397,计算机科学，理论和方法,5365,0.902,4,0097-5397,siam journal on computing,暹罗计算杂志,124,容易,"偏慢,4-8周",https://www.siam.org/Publications/Journals/SIAM-Journal-on-Computing-SICOMP,相同,,,,
1064-5462,计算机科学，理论和方法,721,0.897,4,1064-5462,artificial life,人工生命,28,容易,>12周，或约稿,https://www.mitpressjournals.org/loi/artl,相同,,,,
0885-7458,计算机科学，理论和方法,406,0.897,4,0885-7458,international journal of parallel programming,国际并行程序设计杂志,81,容易,"较慢,6-12周",https://www.springer.com/computer/theoretical+computer+science/journal/10766,相同,,,,
1751-8709,计算机科学，理论和方法,427,0.89,4,1751-8709,IET Information Security,IET信息安全,53,容易,"较慢,6-12周",https://digital-library.theiet.org/content/journals/iet-ifs,相同,,,,
1471-0684,计算机科学，理论和方法,403,0.875,4,1471-0684,theory and practice of logic programming,逻辑程序设计理论与实践,123,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=2a426762&q=w,相同,,,,
1567-7818,计算机科学，理论和方法,743,0.86,4,1567-7818,NATURAL COMPUTING,自然计算,50,容易,"较慢,6-12周",https://link.springer.com/journal/11047,相同,,,,
0267-6192,计算机科学，理论和方法,168,0.855,4,0267-6192,computer systems science and engineering,计算机系统科学与工程,42,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=90fb1725&q=w,相同,,,,
0178-2770,计算机科学，理论和方法,575,0.84,4,0178-2770,distributed computing,分布式计算,23,容易,>12周，或约稿,https://link.springer.com/journal/446,相同,,,,
0925-9856,计算机科学，理论和方法,407,0.825,4,0925-9856,formal methods in system design,系统设计中的形式化方法,33,容易,>12周，或约稿,https://link.springer.com/journal/10703,相同,,,,
0010-4620,计算机科学，理论和方法,3378,0.792,4,0010-4620,computer journal,计算机期刊,130,命中率约20%,平均3月,https://academic.oup.com/comjnl,相同,,,,
1570-5838,计算机科学，理论和方法,165,0.774,4,1570-5838,APPLIED ONTOLOGY,应用本体论,17,容易,>12周，或约稿,https://www.iospress.nl/journal/applied-ontology/,相同,,,,
0304-3975,计算机科学，理论和方法,7694,0.772,4,0304-3975,theoretical computer science,理论计算机科学,379,容易,"较快,2-4周",https://www.journals.elsevier.com/theoretical-computer-science/,相同,,,,
0747-7171,计算机科学，理论和方法,1897,0.755,4,0747-7171,journal of symbolic computation,符号计算杂志,218,容易,"一般,3-6周",https://www.journals.elsevier.com/journal-of-symbolic-computation/,相同,,,,
0955-792X,计算机科学，理论和方法,732,0.74,4,0955-792X,journal of logic and computation,逻辑与计算杂志,285,容易,"一般,3-6周",https://academic.oup.com/logcom,相同,,,,
0219-7499,计算机科学，理论和方法,922,0.738,4,0219-7499,international journal of quantum information,国际量子信息杂志,172,容易,"一般,3-8周",https://www.worldscientific.com/worldscinet/ijqi,相同,,,,
1529-3785,计算机科学，理论和方法,421,0.731,4,1529-3785,ACM Transactions on Computational Logic,计算逻辑上的ACM事务,99,容易,"较慢,6-12周",https://tocl.acm.org/,相同,,,,
0288-3635,计算机科学，理论和方法,282,0.722,4,0288-3635,new generation computing,新一代计算,23,容易,>12周，或约稿,https://www.springer.com/new+&+forthcoming+titles+%28default%29/journal/354,相同,,,,
0963-5483,计算机科学，理论和方法,922,0.705,4,0963-5483,combinatorics probability & computing,组合概率与计算,106,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=91851627&q=w,相同,,,,
0179-5376,计算机科学，理论和方法,1839,0.672,4,0179-5376,discrete & computational geometry,离散几何与计算几何,174,容易,"一般,3-8周",https://link.springer.com/journal/454,相同,,,,
1383-7133,计算机科学，理论和方法,262,0.66,4,1383-7133,constraints,约束条件,23,容易,>12周，或约稿,https://link.springer.com/journal/10601,相同,,,,
1549-6325,计算机科学，理论和方法,591,0.652,4,1549-6325,ACM TRANSACTIONS ON ALGORITHMS,ACM算法事务,76,容易,"较慢,6-12周",https://talg.acm.org/,相同,,,,
0127-9084,计算机科学，理论和方法,102,0.65,4,0127-9084,MALAYSIAN JOURNAL OF COMPUTER SCIENCE,马来西亚计算机科学杂志,20,容易,>12周，或约稿,http://ejum.fsktm.um.edu.my/VolumeListing.aspx?JournalID=4,相同,,,,
1751-8601,计算机科学，理论和方法,269,0.639,4,1751-8601,IET COMPUTERS AND DIGITAL TECHNIQUES,IET计算机和数字技术,27,容易,>12周，或约稿,https://digital-library.theiet.org/content/journals/iet-cdt,相同,,,,
2352-2208,计算机科学，理论和方法,93,0.634,4,2352-2208,JOURNAL OF LOGICAL AND ALGEBRAIC METHODS IN PROGRAMMING,程序设计中的逻辑和代数方法杂志,187,容易,"一般,3-8周",https://www.journals.elsevier.com/journal-of-logical-and-algebraic-methods-in-programming/,相同,,,,
1058-6180,计算机科学，理论和方法,283,0.619,4,1058-6180,ieee annals of the history of computing,IEEE计算历史年鉴,39,容易,>12周，或约稿,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=85,相同,,,,
1930-5346,计算机科学，理论和方法,196,0.564,4,1930-5346,ADVANCES IN MATHEMATICS OF COMMUNICATIONS,通信数学进展,124,容易,"偏慢,4-8周",http://www.medsci.cn/sci/url.do?id=c0ae7294&q=w,相同,,,,
1064-2307,计算机科学，理论和方法,460,0.554,4,1064-2307,journal of computer and systems sciences international,国际计算机与系统科学杂志,81,容易,"较慢,6-12周",https://www.springer.com/engineering/control/journal/11488,相同,,,,
1557-5969,计算机科学，理论和方法,93,0.511,4,1557-5969,JOURNAL OF CELLULAR AUTOMATA,细胞自动机杂志,52,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=91c23542&q=w,相同,,,,
1860-5974,计算机科学，理论和方法,482,0.508,4,1860-5974,LOGICAL METHODS IN COMPUTER SCIENCE,计算机科学中的逻辑方法,297,容易,"一般,3-6周",http://www.medsci.cn/sci/url.do?id=13cb10567&q=w,相同,,,,
1016-3328,计算机科学，理论和方法,460,0.487,4,1016-3328,computational complexity,计算复杂性,48,容易,>12周，或约稿,https://link.springer.com/journal/37,相同,,,,
0938-1279,计算机科学，理论和方法,331,0.464,4,0938-1279,applicable algebra in engineering communication and computing,工程通信与计算中的应用代数,64,容易,"较慢,6-12周",https://www.springer.com/computer/theoretical+computer+science/journal/200,相同,,,,
1432-4350,计算机科学，理论和方法,594,0.458,4,1432-4350,theory of computing systems,计算系统理论,174,容易,"一般,3-8周",https://link.springer.com/journal/224,相同,,,,
1542-3980,计算机科学，理论和方法,380,0.437,4,1542-3980,journal of multiple-valued logic and soft computing,多值逻辑与软计算杂志,195,容易,"一般,3-8周",http://www.medsci.cn/sci/url.do?id=00e94082&q=w,相同,,,,
0032-9460,计算机科学，理论和方法,579,0.359,4,0032-9460,PROBLEMS OF INFORMATION TRANSMISSION,信息传递问题,68,容易,"较慢,6-12周",https://www.springer.com/engineering/signals/journal/11122,相同,,,,
0129-0541,计算机科学，理论和方法,506,0.353,4,0129-0541,international journal of foundations of computer science,国际计算机科学基础杂志,60,容易,"较慢,6-12周",https://www.worldscientific.com/worldscinet/ijfcs,相同,,,,
0161-1194,计算机科学，理论和方法,172,0.326,4,0161-1194,cryptologia,密码术,46,容易,>12周，或约稿,http://www.medsci.cn/sci/url.do?id=3c10696&q=w,相同,,,,
1540-9589,计算机科学，理论和方法,95,0.311,4,1540-9589,JOURNAL OF WEB ENGINEERING,网络工程杂志,29,容易,>12周，或约稿,http://www.rintonpress.com/journals/jwe/,相同,,,,
1453-8245,计算机科学，理论和方法,136,0.288,4,1453-8245,ROMANIAN JOURNAL OF INFORMATION SCIENCE AND TECHNOLOGY,罗马尼亚信息科学与技术杂志,69,容易,"较慢,6-12周",http://www.medsci.cn/sci/url.do?id=268910874&q=w,相同,,,,
